year,predicted_decile,future_return,annualized_mean_return
2021,1,0.019641846631816038,0.23570215958179247
2021,2,0.022903435169932762,0.27484122203919314
2021,3,0.020969244584340314,0.2516309350120838
2021,4,0.026192988302223153,0.31431585962667785
2021,5,0.026649865815019654,0.31979838978023584
2021,6,0.025334281796323726,0.3040113815558847
2021,7,0.024619647092365388,0.29543576510838465
2021,8,0.025467701233452603,0.30561241480143125
2021,9,0.030719914135195165,0.368638969622342
2021,10,0.01991573223468923,0.23898878681627073
2022,1,-0.016377786380448574,-0.19653343656538289
2022,2,-0.011646532287373432,-0.13975838744848118
2022,3,-0.0033248858990706626,-0.03989863078884795
2022,4,0.00011962080579456212,0.0014354496695347455
2022,5,0.0025727195411210297,0.03087263449345236
2022,6,-0.005446274656587552,-0.06535529587905062
2022,7,0.00011882687586944538,0.0014259225104333445
2022,8,-0.005384670915588718,-0.06461605098706462
2022,9,0.0075566255025913,0.0906795060310956
2022,10,0.013359494771689394,0.16031393726027274
2023,1,0.010518277568156544,0.12621933081787853
2023,2,0.003383266200917376,0.04059919441100851
2023,3,0.0012701688313240176,0.01524202597588821
2023,4,0.005668719402328837,0.06802463282794605
2023,5,0.017262599291602086,0.20715119149922503
2023,6,0.011279703624275652,0.13535644349130782
2023,7,0.009092777444440594,0.10911332933328713
2023,8,0.018636961629808917,0.223643539557707
2023,9,0.026045759487036222,0.3125491138444347
2023,10,0.02557237596607581,0.30686851159290973
2024,1,0.009439251546524077,0.11327101855828892
2024,2,0.007325966325160045,0.08791159590192055
2024,3,0.010177101602731393,0.12212521923277672
2024,4,0.014270169080416775,0.1712420289650013
2024,5,0.014850094579240582,0.178201134950887
2024,6,0.010199008903125488,0.12238810683750587
2024,7,0.018491372144692823,0.22189646573631389
2024,8,0.02231152090600445,0.2677382508720534
2024,9,0.020691524121642324,0.2482982894597079
2024,10,0.027727192845985904,0.33272631415183085
2025,1,0.020835476107961392,0.2500257132955367
2025,2,0.01643228958220787,0.19718747498649447
2025,3,0.01856937189188539,0.2228324627026247
2025,4,0.012621595333616039,0.15145914400339247
2025,5,0.007929302271511798,0.09515162725814158
2025,6,0.010666503490973254,0.12799804189167904
2025,7,0.009768236247259211,0.11721883496711052
2025,8,0.007569646403946695,0.09083575684736034
2025,9,0.0216398548226997,0.2596782578723964
2025,10,0.018390881485929194,0.22069057783115031
