feature,importance
log_market_cap,0.09372567559480223
momentum_12m,0.044278802455165016
momentum_12m_skip_1m,0.04422705139427403
ret_252d,0.04221587157290368
rel_momentum_12m,0.03277306021703653
rel_strength_252d,0.03032500686230686
price_sma200,0.029145488149691135
vol_60d,0.027971249268463082
spy_ret_252d,0.02500949071235859
momentum_6m,0.023032055184936426
spy_vol_60d,0.022220911927898636
ret_120d,0.02033252105271579
momentum_3m,0.018334407623856897
ret_60d,0.01807410043832126
oil_ret_60d,0.01748137224878729
macd,0.017166144136563456
spy_ret_120d,0.01714407001178089
gold_ret_60d,0.017140580670501917
gold_ret_20d,0.016951734198237513
corr_spy_60d,0.01646349125798952
spy_ret_60d,0.016122096110617483
beta_60d,0.01609374274954189
rel_strength_120d,0.015592956602829505
macd_signal,0.01554011894335319
vol_20d,0.014597841089832196
sma20_sma50,0.014586813204835295
spy_vol_20d,0.01420622464991141
rel_momentum_6m,0.014168849462750183
rel_strength_60d,0.013746279908742968
dxy_ret_60d,0.013642862405810885
stoch_d,0.013359710072231547
corr_spy_20d,0.013132027163485086
pb_ratio,0.012913442456086919
us_agg_bond_ret_60d,0.012702989269101203
spy_vol_10d,0.012601475123678435
us_agg_bond_ret_20d,0.012462601737100822
stoch_k,0.012155313776644507
williams_r,0.011602658979317903
vix_close,0.011580371149385977
atr_14_pct,0.011417437395019218
oil_ret_20d,0.01048930879492838
vix_change_20d,0.010385032090014438
pe_ratio,0.010309489945663556
rsi_14,0.009731181794359021
beta_20d,0.009424434085603967
dxy_ret_20d,0.009105938802806588
spy_ret_20d,0.009019252776109215
price_sma50,0.008924883583107756
vol_10d,0.008322563874225237
roe,0.007697812512113662
macd_hist,0.007454766295264981
spy_vol_5d,0.006065462879960877
debt_to_equity,0.006031987473086147
spy_ret_10d,0.005752674514041637
ret_20d,0.004687122196266545
rel_strength_20d,0.004209479610182974
price_sma20,0.0038305143850056204
vol_5d,0.0032299441497486976
rel_strength_10d,0.0031036848771823673
ret_10d,0.002905724040107111
spy_ret_5d,0.0027435155375712104
rel_strength_5d,0.0027085419697787712
ret_5d,0.0023115301407314283
vix_change_5d,0.0017087564936876663
ret_2d,0.0011929046963233348
spy_ret_1d,0.0008937365065636888
volume_sma20_ratio,0.0007285093294589015
ret_1d,0.0005990506070632126
volume_change_1d,0.0001932988101756697
