date,spearman_ic,top_minus_bottom,top10_return,bottom20_return,spy_return
2021-01-04,0.28479832639531844,0.0253668232783089,0.038436345141966234,0.013069521863657335,0.03459958147998621
2021-02-01,0.3792905555830406,0.06991405288188178,0.057902760199127476,-0.012011292682754299,0.027403449288907034
2021-03-01,-0.10120078308867701,-0.10916640969011297,-0.06735217879897365,0.04181423089113932,0.019241951264453938
2021-04-01,-0.2687902410754041,-0.01571272502261378,0.019922763566188707,0.035635488588802486,0.04166146730389819
2021-05-03,0.3887286117138193,0.07258458696958366,0.06782519935308409,-0.004759387616499561,0.003515064478357921
2021-06-01,-0.31893760027139534,-0.043719330602636296,-0.00960541464028134,0.034113915962354954,0.022468242997173205
2021-07-01,-0.38064894586934855,-0.05009812474527566,-0.017488255836915302,0.03260986890836036,0.018771972649954227
2021-08-02,-0.12508074718533335,-0.04304495506443342,0.0051472762224955,0.04819223128692892,0.03345599762334617
2021-09-01,0.3060053289608526,0.07780033730001676,0.027707033918418576,-0.050093303381598175,-0.04711192433960831
2021-10-01,0.07705225067318769,0.043196843377882654,0.06862490228564104,0.025428058907758382,0.057594902763331346
2021-11-01,-0.27745368963396966,-0.06019790545185434,-0.047370773919513276,0.012827131532341062,-0.009738303000511372
2021-12-01,-0.07861136043988663,-0.017694736270624775,0.045438329460192176,0.06313306573081695,0.06067225374376606
2022-01-03,-0.13906750252666247,0.0007870031142003346,-0.028394148637642714,-0.02918115175184305,-0.05183056774676187
2022-02-01,0.09859001632612675,0.002474978168669789,-0.0385372401968221,-0.04101221836549189,-0.03324870221329723
2022-03-01,0.1388031747602321,0.04704145095849281,0.11289594901378346,0.06585449805529064,0.076756702020782
2022-04-01,-0.05925465223936505,-0.03409027197883764,-0.11180557628478165,-0.077715304305944,-0.08487149861186305
2022-05-02,0.08022842442275481,0.008441916994137546,0.01776230323529724,0.009320386241159695,-0.0037396737179195005
2022-06-01,-0.09274794863277523,-0.03700677765123825,-0.10277061932787705,-0.0657638416766388,-0.07497839098413539
2022-07-01,0.5873631538401736,0.23337280391183954,0.23584474111516157,0.002471937203322039,0.07745777141584753
2022-08-01,0.2382328204620789,0.06572649456102851,0.037687627405993816,-0.028038867155034695,-0.019816418429204008
2022-09-01,0.027239895117003907,0.027596241434120067,-0.06208762082713032,-0.08968386226125039,-0.09528473758815603
2022-10-03,0.02102324529475373,0.015692364382823454,0.07885989635304522,0.06316753197022176,0.053462809346793705
