date,top10_return,bottom20_return,random_top10_return,top_minus_bottom,spy_return,spearman_ic,hmm_regime
2021-01-04,0.03503621510049511,0.013727343208793352,0.028140821340075554,0.021308871891701754,0.03459958147998621,0.12287000586609749,1
2021-02-01,0.04521704828702762,0.10907281961197406,0.054192651213379815,-0.06385577132494644,0.027403449288907034,-0.20260793972761518,1
2021-03-01,0.03126796814358879,0.010842165604397325,0.04057188309346815,0.020425802539191462,0.019241951264453938,0.21151592680806552,1
2021-04-01,0.030895654467776878,0.02418247804545094,0.034143382912642524,0.006713176422325939,0.04166146730389819,0.04244792955028942,0
2021-05-03,0.05362926063748635,0.005590126214946733,0.013006919041694927,0.04803913442253962,0.003515064478357921,0.10501869376850824,0
2021-06-01,0.0059249156361481205,-0.015735626352712657,0.003095733632666761,0.021660541988860776,0.022468242997173205,0.04684114183941028,2
2021-07-01,0.014930021470343325,0.008402605351887948,0.01374056592349746,0.006527416118455377,0.018771972649954227,-0.07518640761603212,0
2021-08-02,0.006756713620632027,0.022255471817659682,0.023948342707562197,-0.015498758197027656,0.03345599762334617,0.005885886734845326,0
2021-09-01,0.01969274395360513,-0.04584822493493293,-0.03559717992619974,0.06554096888853805,-0.04711192433960831,0.1992946547836965,1
2021-10-01,0.13897398498125327,0.0361874596108329,0.053439135452527896,0.10278652537042036,0.057594902763331346,0.18315793937423583,2
2021-11-01,-0.05225767646093822,0.002636190444010966,-0.017455451180654273,-0.054893866904949185,-0.009738303000511372,-0.10503000190824859,1
2021-12-01,0.07806216748142342,0.0737565452531249,0.07614478780513902,0.004305622228298514,0.06067225374376606,0.0367033945621983,0
2022-01-03,-0.03300892721183616,-0.06585622823286168,-0.029919723739886835,0.03284730102102552,-0.05183056774676187,0.016621551900827616,2
2022-02-01,-0.01256608653016782,-0.05858967485030274,-0.016583556485149132,0.04602358832013492,-0.03324870221329723,0.08126453272646317,1
2022-03-01,0.06173491923349177,0.06486976881889339,0.07353645898167151,-0.003134849585401625,0.076756702020782,0.03307489522301772,3
2022-04-01,-0.04291613694493328,-0.05344784566590528,-0.06403563042329342,0.010531708720972005,-0.08487149861186305,-0.011831141203327419,2
2022-05-02,-0.007564207410184198,0.015617196954924117,0.01309153293228996,-0.023181404365108314,-0.0037396737179195005,-0.08464142595642125,0
2022-06-01,-0.0881609381374237,-0.08840086751285518,-0.07430246565039357,0.0002399293754314774,-0.07497839098413539,0.03018001144949149,3
2022-07-01,0.1547778388644035,0.02064279257056792,0.07032852399155698,0.13413504629383557,0.07745777141584753,0.44126057487755405,2
2022-08-01,0.0011628901321051877,-0.0029148257263712065,-0.0072721630467463185,0.004077715858476394,-0.019816418429204008,0.005515545158349295,3
2022-09-01,-0.08770875342222827,-0.12356364045574206,-0.08942205038126357,0.03585488703351379,-0.09528473758815603,0.09221363903004431,2
2022-10-03,0.057807271387527746,0.07956006641589942,0.07643957613525344,-0.02175279502837168,0.053462809346793705,-0.0008523510329278893,2
2022-11-01,0.0938234879776152,0.04141505351707007,0.07095151498711857,0.05240843446054513,0.060230938838836234,0.1348580475083221,2
2022-12-01,-0.061158911678116754,-0.03294181681546471,-0.04569586235356729,-0.028217094862652045,-0.05693429735745792,-0.28058745785951056,3
2023-01-03,0.13816501376643978,0.09560220395450522,0.07343701292577683,0.042562809811934554,0.07872480230227374,0.3437731021761101,2
2023-02-01,-0.028600245954024005,-0.00909474094312645,-0.030390506265220153,-0.019505505010897553,-0.0316212033013924,-0.011679894834300415,1
2023-03-01,0.051036150591589766,-0.0028236090535832315,-0.001435843819845651,0.053859759645173,0.020625642921485277,0.0996218840774325,1
2023-04-03,-0.0215030983203768,0.01257061994777423,-0.0035248978493866473,-0.03407371826815103,-0.0002676967935832941,-0.007666918743948379,3
2023-05-01,0.022580156486723835,-0.00837651344015416,-0.01355683065939106,0.030956669926877997,0.011239151615144216,0.08141295206055509,3
2023-06-01,0.0610368074315234,0.061812110719987004,0.06170168050660654,-0.0007753032884636052,0.05477834116709679,0.1690849594673866,0
2023-07-03,0.046559939481315205,0.03954799730534832,0.031923020280654336,0.007011942175966887,0.028594604912354882,-0.17716038475945467,1
2023-08-01,-0.03237701611665976,-0.036535292962668484,-0.017370388703152984,0.004158276846008724,-0.016035773395641106,-0.05000176689683443,0
2023-09-01,-0.05159153909928497,-0.04039494989148698,-0.048267619461582506,-0.011196589207797987,-0.049586032264346325,0.056016283721226086,0
2023-10-02,-0.040182225505568624,-0.030713897954405024,-0.01921236935867736,-0.0094683275511636,-0.02742739463153221,0.018295156582397467,3
2023-11-01,0.08664201896497935,0.07134823397385874,0.07978781137139217,0.015293784991120607,0.07982773387592879,-0.0044045204288611995,1
2023-12-01,0.05605632474728158,0.031730098631175735,0.03981401053945673,0.024326226116105847,0.033688307863693145,0.007394819244623527,2
