cost_bps,total_return,CAGR,annual_return,annual_volatility,sharpe,max_drawdown,annual_excess_return_vs_spy,alpha_vs_spy,top_minus_spy_p_value,top_minus_bottom_p_value,avg_turnover,avg_monthly_transaction_cost,annualized_transaction_cost,n_periods
0,2.051659931236259,0.24999198146399992,0.24232054544688567,0.18898974162565363,1.070537182106092,-0.1553131832349237,0.09383924672702765,0.08885449199313779,0.08003195177726502,0.15091216137132019,1.512935901847328,0.0,0.0,60
5,1.9181314195902264,0.23885640163257782,0.23324293003580163,0.18911065273982372,1.0218511079947623,-0.15780015446628026,0.0847616313159437,0.07969028308130252,0.11325596722103735,0.18990169421975606,1.512935901847328,0.000756467950923664,0.009077615411083968,60
10,1.7903487309449417,0.22781149990766414,0.22416531462471762,0.18923267955905948,0.9732215125519038,-0.1607135936179015,0.07568401590485975,0.0705260741694674,0.15675850365037552,0.23600400579827213,1.512935901847328,0.001512935901847328,0.018155230822167936,60
25,1.4390949485950788,0.19521419208202517,0.19693246839146578,0.18960543260722243,0.8276791768754832,-0.16940868884738813,0.04845116967160784,0.043033447433961945,0.3634095098708911,0.4204090634934995,1.512935901847328,0.0037823397546183197,0.045388077055419834,60
50,0.9477893518050344,0.1426373012905282,0.1515443913360459,0.19024879775002082,0.586307995925476,-0.1837505524112294,0.003063092616188013,-0.002787597125213731,0.9542183278717069,0.8644585934432646,1.512935901847328,0.007564679509236639,0.09077615411083967,60
