ticker,selection_count,selection_frequency,portfolio_slot_share
BRK-B,14,0.23333333333333334,0.023333333333333334
TSLA,13,0.21666666666666667,0.021666666666666667
NVDA,11,0.18333333333333332,0.018333333333333333
HUM,11,0.18333333333333332,0.018333333333333333
AMAT,9,0.15,0.015
BKNG,9,0.15,0.015
URI,8,0.13333333333333333,0.013333333333333334
LHX,8,0.13333333333333333,0.013333333333333334
REGN,8,0.13333333333333333,0.013333333333333334
EQIX,8,0.13333333333333333,0.013333333333333334
APD,8,0.13333333333333333,0.013333333333333334
TMO,8,0.13333333333333333,0.013333333333333334
PH,8,0.13333333333333333,0.013333333333333334
PSA,7,0.11666666666666667,0.011666666666666667
NOC,7,0.11666666666666667,0.011666666666666667
HAL,7,0.11666666666666667,0.011666666666666667
FCX,6,0.1,0.01
BIIB,6,0.1,0.01
AON,6,0.1,0.01
AMD,6,0.1,0.01
AAPL,6,0.1,0.01
ELV,6,0.1,0.01
NXPI,6,0.1,0.01
AMT,6,0.1,0.01
MNST,6,0.1,0.01
META,6,0.1,0.01
BLK,6,0.1,0.01
NFLX,6,0.1,0.01
UBER,6,0.1,0.01
PFE,5,0.08333333333333333,0.008333333333333333
MU,5,0.08333333333333333,0.008333333333333333
VRSK,5,0.08333333333333333,0.008333333333333333
SHW,5,0.08333333333333333,0.008333333333333333
MTD,5,0.08333333333333333,0.008333333333333333
AZO,5,0.08333333333333333,0.008333333333333333
MCK,5,0.08333333333333333,0.008333333333333333
EA,5,0.08333333333333333,0.008333333333333333
OXY,4,0.06666666666666667,0.006666666666666667
MMM,4,0.06666666666666667,0.006666666666666667
UNH,4,0.06666666666666667,0.006666666666666667
MCO,4,0.06666666666666667,0.006666666666666667
ZTS,4,0.06666666666666667,0.006666666666666667
MA,4,0.06666666666666667,0.006666666666666667
TDG,4,0.06666666666666667,0.006666666666666667
CMG,4,0.06666666666666667,0.006666666666666667
GM,4,0.06666666666666667,0.006666666666666667
DIS,4,0.06666666666666667,0.006666666666666667
MRK,4,0.06666666666666667,0.006666666666666667
BDX,4,0.06666666666666667,0.006666666666666667
GE,4,0.06666666666666667,0.006666666666666667
GOOG,4,0.06666666666666667,0.006666666666666667
GOOGL,4,0.06666666666666667,0.006666666666666667
VRTX,4,0.06666666666666667,0.006666666666666667
TFC,4,0.06666666666666667,0.006666666666666667
CME,4,0.06666666666666667,0.006666666666666667
F,4,0.06666666666666667,0.006666666666666667
NEM,4,0.06666666666666667,0.006666666666666667
LMT,4,0.06666666666666667,0.006666666666666667
HD,4,0.06666666666666667,0.006666666666666667
LRCX,4,0.06666666666666667,0.006666666666666667
USB,4,0.06666666666666667,0.006666666666666667
CI,4,0.06666666666666667,0.006666666666666667
AIG,4,0.06666666666666667,0.006666666666666667
LEN,4,0.06666666666666667,0.006666666666666667
KMI,3,0.05,0.005
FDX,3,0.05,0.005
KR,3,0.05,0.005
IBM,3,0.05,0.005
QCOM,3,0.05,0.005
KMB,3,0.05,0.005
XEL,3,0.05,0.005
DHR,3,0.05,0.005
NKE,3,0.05,0.005
CDNS,3,0.05,0.005
ROST,3,0.05,0.005
TXN,3,0.05,0.005
SCHW,3,0.05,0.005
SNPS,3,0.05,0.005
DLR,3,0.05,0.005
GILD,3,0.05,0.005
GPN,3,0.05,0.005
PPG,3,0.05,0.005
CHTR,3,0.05,0.005
LOW,3,0.05,0.005
V,3,0.05,0.005
HPQ,3,0.05,0.005
