year,predicted_decile,future_return,annualized_mean_return
2021,1,0.03119521163334787,0.37434253960017444
2021,2,0.02381657610049183,0.28579891320590195
2021,3,0.021273712651947305,0.2552845518233677
2021,4,0.021788842993820712,0.26146611592584856
2021,5,0.01825400651109507,0.2190480781331408
2021,6,0.029310328922279288,0.35172394706735144
2021,7,0.017944545845871598,0.21533455015045916
2021,8,0.023807427242213044,0.2856891269065565
2021,9,0.02300316126996597,0.27603793523959164
2021,10,0.03142183287021716,0.3770619944426059
2022,1,-0.01189445054483735,-0.1427334065380482
2022,2,-0.0030177176808131646,-0.03621261216975798
2022,3,-0.010036275447646481,-0.12043530537175778
2022,4,-0.0007666053919283782,-0.009199264703140538
2022,5,0.0019927292146490875,0.023912750575789052
2022,6,-0.0016898271857038064,-0.020277926228445677
2022,7,-0.003673700407099561,-0.04408440488519473
2022,8,-0.004069935690107712,-0.04883922828129254
2022,9,0.011244521468686272,0.13493425762423528
2022,10,0.003939185374891799,0.04727022449870158
2023,1,0.009985313161062503,0.11982375793275003
2023,2,0.0011092905000777715,0.013311486000933258
2023,3,0.010376429995597902,0.12451715994717483
2023,4,0.015555784676384873,0.18666941611661847
2023,5,0.013607373964164402,0.16328848756997283
2023,6,0.01114354879682824,0.1337225855619389
2023,7,0.011970170354235357,0.14364204425082427
2023,8,0.012962523767993865,0.15555028521592637
2023,9,0.009343762203996969,0.11212514644796362
2023,10,0.03175567250960965,0.38106807011531585
2024,1,0.016078127293869607,0.19293752752643528
2024,2,0.016961632028326994,0.20353958433992392
2024,3,0.017975805119792097,0.21570966143750517
2024,4,0.016744066624314703,0.20092879949177644
2024,5,0.01628374866668267,0.19540498400019207
2024,6,0.011309137843514597,0.13570965412217517
2024,7,0.009112318687742886,0.10934782425291464
2024,8,0.014123928500626673,0.16948714200752008
2024,9,0.01526228673638056,0.18314744083656673
2024,10,0.021556502999284615,0.25867803599141537
2025,1,0.00913573232217856,0.10962878786614272
2025,2,0.015868595304830875,0.1904231436579705
2025,3,0.013651532289489572,0.16381838747387487
2025,4,0.015513040954596944,0.18615649145516333
2025,5,0.022145017732337676,0.2657402127880521
2025,6,0.011816681221096357,0.14180017465315628
2025,7,0.015724064048583473,0.18868876858300168
2025,8,0.015049044503043287,0.18058853403651945
2025,9,0.013108954651457666,0.157307455817492
2025,10,0.012453487786747994,0.14944185344097594
