date,spearman_ic,top_minus_bottom,top10_return,bottom20_return,spy_return
2021-01-04,-0.027700701811422635,0.006103433313209741,0.05396507318937508,0.04786163987616534,0.03459958147998621
2021-02-01,-0.07942130594878827,-0.09672547470278463,0.03648921330206019,0.13321468800484482,0.027403449288907034
2021-03-01,0.09529793414422119,0.0009879782538153234,0.047112151584730366,0.04612417333091504,0.019241951264453938
2021-04-01,0.11399170265246553,0.025952448221451707,0.03213930697901315,0.006186858757561442,0.04166146730389819
2021-05-03,-0.11698977320112235,-0.004656905874555944,0.008833462976632445,0.01349036885118839,0.003515064478357921
2021-06-01,0.19160370624279988,0.034124541029411995,0.036585709088690396,0.0024611680592784013,0.022468242997173205
2021-07-01,0.045785244291156324,0.0025488598380050964,0.014082969290580038,0.011534109452574942,0.018771972649954227
2021-08-02,0.0718151684559442,0.02608060039821825,0.05056628298644679,0.02448568258822854,0.03345599762334617
2021-09-01,-0.017930469075771605,-0.006177178775276737,-0.02037524336628921,-0.014198064591012471,-0.04711192433960831
2021-10-01,-0.05205843481210819,-0.004025415664287657,0.03862619051962622,0.04265160618391388,0.057594902763331346
2021-11-01,0.02069389572481642,0.012809686493907384,-0.0027644421835917197,-0.015574128677499105,-0.009738303000511372
2021-12-01,0.06636181806616676,0.017001383504422346,0.08393215100410495,0.0669307674996826,0.06067225374376606
2022-01-03,-0.02831558190980345,0.0269823746128484,-0.05165603807064907,-0.07863841268349747,-0.05183056774676187
2022-02-01,-0.0018389862252722788,0.02655985129120581,-0.012614787179254416,-0.039174638470460224,-0.03324870221329723
2022-03-01,0.12188619770868818,-0.014867158347779977,0.06579145308337082,0.0806586114311508,0.076756702020782
2022-04-01,0.09436359909817585,-0.025893476687457673,-0.0894651299255549,-0.06357165323809723,-0.08487149861186305
2022-05-02,0.034294760797506554,0.023559525806433806,0.02968569153901962,0.006126165732585814,-0.0037396737179195005
2022-06-01,0.04872253358870882,0.01790705317105995,-0.07356040995021847,-0.09146746312127842,-0.07497839098413539
2022-07-01,0.4576333477040943,0.1444890475439737,0.17748324273763666,0.03299419519366296,0.07745777141584753
2022-08-01,-0.028783456191559885,0.0243658817911378,0.012364390709526085,-0.012001491081611715,-0.019816418429204008
2022-09-01,0.06347117484504314,0.04115142288007697,-0.055765479428114585,-0.09691690230819155,-0.09528473758815603
2022-10-03,-0.11280434797973016,-0.03961608577993027,0.06255306398325865,0.10216914976318892,0.053462809346793705
2022-11-01,0.32128121223258016,0.11285235122821825,0.15672959634239028,0.04387724511417203,0.060230938838836234
2022-12-01,-0.22122255125767717,-0.036016045490469537,-0.06816019737730979,-0.03214415188684025,-0.05693429735745792
2023-01-03,0.26026814426359274,0.19255890351427152,0.23434255655113514,0.04178365303686362,0.07872480230227374
2023-02-01,0.00029683866818384214,0.01859528332654778,0.0025865304296866175,-0.016008752896861163,-0.0316212033013924
2023-03-01,0.2528697938384774,0.05363455739840266,0.040820255505015,-0.012814301893387652,0.020625642921485277
2023-04-03,-0.15256518082422205,-0.03443557752418333,-0.023715521949706754,0.010720055574476578,-0.0002676967935832941
2023-05-01,0.20055551236474406,0.1725397009081715,0.1293978045963694,-0.04314189631180211,0.011239151615144216
2023-06-01,0.10162342481147212,-0.001450240970243169,0.04339002536730783,0.044840266337551,0.05477834116709679
2023-07-03,-0.29227724731608373,-0.025720365089007033,0.03407856992436492,0.059798935013371954,0.028594604912354882
2023-08-01,0.030632337039104958,0.02488430053481951,-0.0006790409029777122,-0.025563341437797222,-0.016035773395641106
2023-09-01,-0.06076994296457019,-0.00016677367231194423,-0.04491044625500189,-0.04474367258268994,-0.049586032264346325
2023-10-02,-0.1324409326388251,-0.01980773984412472,-0.035279166833816065,-0.015471426989691344,-0.02742739463153221
2023-11-01,0.1948406612434713,0.009412572667544888,0.0880081571798221,0.07859558451227722,0.07982773387592879
2023-12-01,-0.0036963481776226053,0.009723346410578634,0.04783856205504394,0.03811521564446531,0.033688307863693145
2024-01-02,-0.1261119081779053,-0.02989895246524702,0.012129235681652339,0.04202818814689936,0.021643944179497332
2024-02-01,-0.19933557131116714,-0.06985847834245455,-0.0017338815082885816,0.06812459683416597,0.04834417317366779
2024-03-01,0.1616386455126687,0.04384252109221741,0.0630885865043803,0.019246065412162894,0.021316851983411045
2024-04-01,0.008726720619576269,-0.0048631861492342,-0.0282345102990615,-0.0233713241498273,-0.023172921509092337
2024-05-01,-0.050031340975888336,-0.0067848857580124905,0.048319081098531017,0.05510396685654351,0.044488816938366815
2024-06-03,-0.14900753576353581,-0.023824604443391482,0.013926739755586637,0.03775134419897812,0.04354145438578794
2024-07-01,0.2087712944519508,0.09052958926259852,0.07211834794511,-0.018411241317488523,-0.006124674178053624
