portfolio,total_return,CAGR,annual_return,annual_volatility,sharpe,max_drawdown,annual_excess_return_vs_spy,beta_vs_spy,alpha_vs_spy,n_periods
RankModel_Top10,2.7837278803643817,0.3049202751588316,0.2891221511839247,0.20702248054534853,1.2033579663796665,-0.1331517009262444,0.14064085246406666,1.1004058778408297,0.12573245732315286,60
SPY,0.9861473529818718,0.14710267669378707,0.14848129871985805,0.145422732866607,0.745972081403294,-0.2046748947995901,0.0,1.016949152542373,-0.0025166321816925408,60
bottom20_Predicted,0.7491178682434476,0.11831413770445387,0.12439121185252561,0.15700626999280456,0.5375021765461543,-0.24523379998361494,-0.02409008686733243,0.9115505215603865,-0.010956993437524522,60
TopMinusBottom,1.1077110266312413,0.16081286735410916,0.16473093933139907,0.17742976966002003,0.7029876641918703,-0.10132197240176999,,,,60
Oracle_Top10,11371.815532810933,5.474013474719338,2.0402087936274462,0.21373336401358176,9.358430317413346,0.0,1.8917274949075886,1.1194186476406114,1.8739960590145412,60
