year,predicted_decile,future_return,annualized_mean_return
2021,1,0.03177126975881059,0.38125523710572706
2021,2,0.018681293332158292,0.22417551998589952
2021,3,0.02326390195703265,0.2791668234843918
2021,4,0.027021214009050776,0.3242545681086093
2021,5,0.01875125420778653,0.22501505049343834
2021,6,0.01913769498557458,0.22965233982689498
2021,7,0.02582231223740472,0.30986774684885665
2021,8,0.028735485276160194,0.3448258233139223
2021,9,0.019670493705606085,0.23604592446727302
2021,10,0.028426198512919054,0.34111438215502865
2022,1,-0.020801158484052142,-0.2496139018086257
2022,2,-0.008123556835217321,-0.09748268202260785
2022,3,-0.008847936368764008,-0.1061752364251681
2022,4,0.0026443473593429512,0.031732168312115415
2022,5,0.0017410377844728423,0.020892453413674107
2022,6,-0.0029273521454921373,-0.03512822574590565
2022,7,0.005578291263738554,0.06693949516486265
2022,8,0.002844929605770442,0.034139155269245304
2022,9,0.00021688476681880572,0.002602617201825669
2022,10,0.009249127817211976,0.11098953380654372
2023,1,0.015759524929477752,0.189114299153733
2023,2,0.00550621256683224,0.06607455080198688
2023,3,0.00479242320955349,0.057509078514641876
2023,4,0.012873188663787739,0.15447826396545286
2023,5,0.015477241093284992,0.1857268931194199
2023,6,0.010893308582064403,0.13071970298477284
2023,7,0.010454649803763719,0.12545579764516462
2023,8,0.013486810675962394,0.16184172811154873
2023,9,0.01752631329303581,0.21031575951642972
2023,10,0.02147540569276396,0.2577048683131675
2024,1,0.007380101591466559,0.0885612190975987
2024,2,0.014875686566075984,0.1785082387929118
2024,3,0.010824647185381828,0.12989576622458193
2024,4,0.014683379302010737,0.17620055162412884
2024,5,0.012300208552176098,0.14760250262611319
2024,6,0.013506872799278436,0.16208247359134123
2024,7,0.013346627149071491,0.1601595257888579
2024,8,0.02260776100680305,0.27129313208163663
2024,9,0.021618307832123807,0.2594196939854857
2024,10,0.024675459265113154,0.29610551118135786
2025,1,0.029488250533670504,0.35385900640404605
2025,2,0.01648127217327249,0.19777526607926987
2025,3,0.016818691115217468,0.2018242933826096
2025,4,0.018564076223724708,0.2227689146846965
2025,5,0.007090575668038751,0.08508690801646501
2025,6,0.013281692423119731,0.15938030907743678
2025,7,0.007759797235305443,0.09311756682366532
2025,8,0.012681933798010893,0.15218320557613071
2025,9,0.0066209352792433104,0.07945122335091973
2025,10,0.01523494718162103,0.18281936617945235
