ticker,selection_count,selection_frequency,portfolio_slot_share
BRK-B,25,0.4166666666666667,0.041666666666666664
NFLX,25,0.4166666666666667,0.041666666666666664
BKNG,15,0.25,0.025
CMG,15,0.25,0.025
PRU,15,0.25,0.025
MCD,15,0.25,0.025
HPQ,12,0.2,0.02
APH,12,0.2,0.02
NVDA,11,0.18333333333333332,0.018333333333333333
AIG,11,0.18333333333333332,0.018333333333333333
F,11,0.18333333333333332,0.018333333333333333
GLW,10,0.16666666666666666,0.016666666666666666
BIIB,10,0.16666666666666666,0.016666666666666666
PANW,10,0.16666666666666666,0.016666666666666666
PPG,10,0.16666666666666666,0.016666666666666666
GM,10,0.16666666666666666,0.016666666666666666
C,10,0.16666666666666666,0.016666666666666666
KHC,10,0.16666666666666666,0.016666666666666666
KDP,9,0.15,0.015
NOW,8,0.13333333333333333,0.013333333333333334
HAL,8,0.13333333333333333,0.013333333333333334
OXY,8,0.13333333333333333,0.013333333333333334
UBER,8,0.13333333333333333,0.013333333333333334
CDNS,8,0.13333333333333333,0.013333333333333334
O,8,0.13333333333333333,0.013333333333333334
MTD,7,0.11666666666666667,0.011666666666666667
KMB,7,0.11666666666666667,0.011666666666666667
IR,7,0.11666666666666667,0.011666666666666667
SPG,7,0.11666666666666667,0.011666666666666667
DLTR,6,0.1,0.01
XEL,6,0.1,0.01
NEM,6,0.1,0.01
DLR,6,0.1,0.01
SLB,6,0.1,0.01
CTVA,6,0.1,0.01
OKE,6,0.1,0.01
VRSK,6,0.1,0.01
AMD,5,0.08333333333333333,0.008333333333333333
FCX,5,0.08333333333333333,0.008333333333333333
ANET,5,0.08333333333333333,0.008333333333333333
SBUX,5,0.08333333333333333,0.008333333333333333
ADP,5,0.08333333333333333,0.008333333333333333
URI,4,0.06666666666666667,0.006666666666666667
EA,4,0.06666666666666667,0.006666666666666667
EQIX,4,0.06666666666666667,0.006666666666666667
DOW,4,0.06666666666666667,0.006666666666666667
LEN,4,0.06666666666666667,0.006666666666666667
COR,4,0.06666666666666667,0.006666666666666667
FIS,4,0.06666666666666667,0.006666666666666667
ODFL,4,0.06666666666666667,0.006666666666666667
COF,4,0.06666666666666667,0.006666666666666667
MMM,4,0.06666666666666667,0.006666666666666667
MRK,4,0.06666666666666667,0.006666666666666667
HUM,4,0.06666666666666667,0.006666666666666667
CTAS,4,0.06666666666666667,0.006666666666666667
ORLY,3,0.05,0.005
TSLA,3,0.05,0.005
AMP,3,0.05,0.005
FDX,3,0.05,0.005
BDX,3,0.05,0.005
HLT,3,0.05,0.005
ROST,3,0.05,0.005
USB,3,0.05,0.005
YUM,3,0.05,0.005
JPM,3,0.05,0.005
TFC,3,0.05,0.005
BAC,3,0.05,0.005
WELL,3,0.05,0.005
MU,3,0.05,0.005
CRM,3,0.05,0.005
WFC,3,0.05,0.005
EXC,3,0.05,0.005
GEHC,3,0.05,0.005
REGN,3,0.05,0.005
INTU,2,0.03333333333333333,0.0033333333333333335
MET,2,0.03333333333333333,0.0033333333333333335
ROP,2,0.03333333333333333,0.0033333333333333335
SHW,2,0.03333333333333333,0.0033333333333333335
MAR,2,0.03333333333333333,0.0033333333333333335
VRTX,2,0.03333333333333333,0.0033333333333333335
EOG,2,0.03333333333333333,0.0033333333333333335
PSX,2,0.03333333333333333,0.0033333333333333335
LRCX,2,0.03333333333333333,0.0033333333333333335
CL,2,0.03333333333333333,0.0033333333333333335
AMZN,2,0.03333333333333333,0.0033333333333333335
DD,2,0.03333333333333333,0.0033333333333333335
MDT,2,0.03333333333333333,0.0033333333333333335
PGR,2,0.03333333333333333,0.0033333333333333335
PFE,2,0.03333333333333333,0.0033333333333333335
WM,2,0.03333333333333333,0.0033333333333333335
D,2,0.03333333333333333,0.0033333333333333335
QCOM,2,0.03333333333333333,0.0033333333333333335
COP,2,0.03333333333333333,0.0033333333333333335
KR,2,0.03333333333333333,0.0033333333333333335
DHR,2,0.03333333333333333,0.0033333333333333335
SCHW,2,0.03333333333333333,0.0033333333333333335
VLO,2,0.03333333333333333,0.0033333333333333335
APD,2,0.03333333333333333,0.0033333333333333335
CHTR,2,0.03333333333333333,0.0033333333333333335
PAYX,2,0.03333333333333333,0.0033333333333333335
GILD,2,0.03333333333333333,0.0033333333333333335
WMT,2,0.03333333333333333,0.0033333333333333335
AMT,2,0.03333333333333333,0.0033333333333333335
UPS,1,0.016666666666666666,0.0016666666666666668
TEL,1,0.016666666666666666,0.0016666666666666668
