year,predicted_decile,future_return,annualized_mean_return
2021,1,0.028173985145245512,0.33808782174294616
2021,2,0.02554373946449159,0.30652487357389907
2021,3,0.019399309140209934,0.23279170968251922
2021,4,0.02270487148154668,0.27245845777856015
2021,5,0.02127507153457601,0.2553008584149121
2021,6,0.020728815596460542,0.2487457871575265
2021,7,0.025314285335156488,0.30377142402187784
2021,8,0.026845437712089762,0.32214525254507714
2021,9,0.024699320653250468,0.29639184783900563
2021,10,0.02708445194979837,0.32501342339758044
2022,1,-0.022102293690270048,-0.2652275242832406
2022,2,-0.0062239336963769735,-0.07468720435652368
2022,3,-0.005218160601026364,-0.06261792721231638
2022,4,0.0021986647728120725,0.02638397727374487
2022,5,-0.010295916396644013,-0.12355099675972817
2022,6,0.003015520261022563,0.03618624313227076
2022,7,0.005937033682289625,0.0712444041874755
2022,8,0.003409739674609681,0.04091687609531617
2022,9,0.004301429071112805,0.05161714885335365
2022,10,0.006747039853210568,0.08096447823852682
2023,1,0.015333342693287783,0.1840001123194534
2023,2,0.008605088461176183,0.10326106153411418
2023,3,0.004760251115530156,0.05712301338636187
2023,4,0.011066474500075564,0.13279769400090677
2023,5,0.018369954291037483,0.2204394514924498
2023,6,0.011191826459905877,0.13430191751887052
2023,7,0.010501962748595314,0.12602355298314377
2023,8,0.016966655547654374,0.20359986657185247
2023,9,0.010187896603294425,0.1222547592395331
2023,10,0.021375881473677204,0.25651057768412644
2024,1,0.012158552534201896,0.14590263041042276
2024,2,0.008579901451092704,0.10295881741311244
2024,3,0.01387904092320607,0.16654849107847283
2024,4,0.013966653875542655,0.16759984650651186
2024,5,0.011419868712529683,0.1370384245503562
2024,6,0.01096641915313498,0.13159702983761976
2024,7,0.022856844088501582,0.274282129062019
2024,8,0.010711567405751498,0.12853880886901797
2024,9,0.02914635229081003,0.34975622748972035
2024,10,0.022490293539040595,0.2698835224684871
2025,1,0.026270310943259673,0.3152437313191161
2025,2,0.018198838935957373,0.21838606723148846
2025,3,0.02028509083095947,0.24342108997151363
2025,4,0.007086512446460674,0.08503814935752808
2025,5,0.015977285372429272,0.19172742446915125
2025,6,0.011567365873871997,0.13880839048646396
2025,7,0.008146710860625015,0.09776053032750018
2025,8,0.01627134763210585,0.1952561715852702
2025,9,0.0029878951282654048,0.03585474153918486
2025,10,0.01652983979350459,0.1983580775220551
