portfolio,total_return,CAGR,annual_return,annual_volatility,sharpe,max_drawdown,annual_excess_return_vs_spy,beta_vs_spy,alpha_vs_spy,n_periods
RankModel_Top10,2.0516599312362596,0.24999198146399992,0.2423205454468857,0.1889897416256537,1.0705371821060918,-0.15531318323492382,0.09383924672702762,1.0335715997695765,0.08885449199313769,60
SPY,0.9861473529818718,0.14710267669378707,0.14848129871985805,0.145422732866607,0.745972081403294,-0.2046748947995901,0.0,1.016949152542373,-0.0025166321816925408,60
bottom20_Predicted,0.8714369344466024,0.1335352739586555,0.13933366561252677,0.1650749593618363,0.6017488418385262,-0.2707754178247749,-0.009147633107331212,0.9600902535129879,-0.00322178211735942,60
TopMinusBottom,0.5728265453674273,0.09480347208121276,0.10298687983435881,0.15824938974069677,0.39802289245833694,-0.16634352634225047,,,,60
Oracle_Top10,11371.815532810933,5.474013474719338,2.0402087936274462,0.21373336401358176,9.358430317413346,0.0,1.8917274949075886,1.1194186476406114,1.8739960590145412,60
