date,spearman_ic,top_minus_bottom,top10_return,bottom20_return,spy_return
2021-01-04,0.03688997886791386,0.01025395717351716,0.04425865438161135,0.03400469720809419,0.03459958147998621
2021-02-01,-0.18638782678756952,-0.10554059531104756,0.041071431066914875,0.14661202637796245,0.027403449288907034
2021-03-01,0.20783936787498855,0.044869885393652435,0.05276228402947701,0.007892398635824577,0.019241951264453938
2021-04-01,0.04206910686898814,0.019390574877001722,0.0428532626995066,0.02346268782250488,0.04166146730389819
2021-05-03,0.11699118671858988,0.07218952370394553,0.07827921085499483,0.006089687151049289,0.003515064478357921
2021-06-01,-0.04740513530895958,-0.02502229598189145,-0.02685071986736711,-0.0018284238854756607,0.022468242997173205
2021-07-01,-0.12088966789407102,-0.03184322192191865,-0.004189748946828653,0.02765347297509,0.018771972649954227
2021-08-02,-0.07824949996819586,-0.026654660593606883,0.0041687174779706185,0.0308233780715775,0.03345599762334617
2021-09-01,0.25963064788573126,0.08328576784905405,0.02481943151454803,-0.05846633633450602,-0.04711192433960831
2021-10-01,0.12320642302337251,0.08796501433253037,0.1361116628493558,0.04814664851682544,0.057594902763331346
2021-11-01,-0.10315285071135266,-0.05974072662277393,-0.05242053332476178,0.0073201932980121506,-0.009738303000511372
2021-12-01,-0.03355690467944958,-0.00014227037733402503,0.08233412283760475,0.08247639321493877,0.06067225374376606
2022-01-03,0.12740174286703748,0.05339834593226909,-0.00949583609709812,-0.06289418202936721,-0.05183056774676187
2022-02-01,0.13058639772140984,-0.0069173776710134,-0.04745775897346556,-0.04054038130245216,-0.03324870221329723
2022-03-01,0.0761051939699345,0.034678456722824824,0.09732463768617532,0.06264618096335049,0.076756702020782
2022-04-01,0.00011308139740336842,-0.008288678101542546,-0.08223785758798488,-0.07394917948644233,-0.08487149861186305
2022-05-02,0.009496010346947864,0.03279557731534409,0.02383606424054786,-0.008959513074796232,-0.0037396737179195005
2022-06-01,0.02742365238778438,0.010525281680299287,-0.06748461467184186,-0.07800989635214114,-0.07497839098413539
2022-07-01,0.5919910100289065,0.16405888370531585,0.16953947569108974,0.005480591985773875,0.07745777141584753
2022-08-01,0.033463612526591795,-0.0006949497419103563,0.014324272788593561,0.015019222530503917,-0.019816418429204008
2022-09-01,0.055506003915443386,0.04674168365548054,-0.0694525257679195,-0.11619420942340004,-0.09528473758815603
2022-10-03,0.0019421730004028526,0.01036004351603511,0.05241494317114066,0.04205489965510555,0.053462809346793705
2022-11-01,0.1833614858895619,0.057683368459862217,0.08666437228191101,0.028981003822048795,0.060230938838836234
2022-12-01,-0.16133464319285326,-0.007812264357882931,-0.04829957874333478,-0.04048731438545185,-0.05693429735745792
2023-01-03,0.3254072697203356,0.051900557206573134,0.1422574297380739,0.09035687253150076,0.07872480230227374
2023-02-01,-0.04280272243464248,-0.028684200220740523,-0.04576360099403011,-0.017079400773289587,-0.0316212033013924
2023-03-01,-0.006270363486016779,-0.016724176631303163,0.004058724730313046,0.02078290136161621,0.020625642921485277
2023-04-03,-0.0195418789887696,-0.00930514019829614,-0.005917928921293869,0.003387211277002272,-0.0002676967935832941
2023-05-01,0.09928122636775484,0.020114865416567367,0.007406072120258034,-0.012708793296309334,0.011239151615144216
2023-06-01,0.21248701330826697,0.01761381232535998,0.08292610905363404,0.06531229672827406,0.05477834116709679
