year,mean_monthly_rebalance_ic,daily_panel_ic
2021,0.0180820688241655,0.03138709407814981
2022,0.08967131007154755,0.02449340930744316
2023,0.0400167972992393,0.01755880383411196
2024,0.07289342210954948,0.05709793156427345
2025,-0.06530078050637729,0.001370936411965663
