year,predicted_decile,future_return,annualized_mean_return
2021,1,0.03271949971581817,0.392633996589818
2021,2,0.017445829885891034,0.2093499586306924
2021,3,0.02576119537298513,0.30913434447582155
2021,4,0.019478464916881117,0.23374157900257342
2021,5,0.020658873699591504,0.24790648439509805
2021,6,0.023426422803564956,0.2811170736427795
2021,7,0.025731397176601657,0.3087767661192199
2021,8,0.02405774970208623,0.28869299642503476
2021,9,0.021970083130776374,0.26364099756931647
2021,10,0.030273507822620477,0.3632820938714457
2022,1,-0.017641307830799795,-0.21169569396959753
2022,2,-0.005314842246577582,-0.06377810695893099
2022,3,-0.0072962436762542176,-0.08755492411505061
2022,4,-0.008639787353493847,-0.10367744824192615
2022,5,0.007896015771222875,0.09475218925467449
2022,6,-0.0048279589814104054,-0.05793550777692487
2022,7,0.0023858831152517843,0.028630597383021414
2022,8,-0.0011952098461830683,-0.01434251815419682
2022,9,0.008275109106519607,0.09930130927823527
2022,10,0.00853452162554169,0.10241425950650027
2023,1,0.016547770784061454,0.19857324940873744
2023,2,0.010946564913227132,0.13135877895872558
2023,3,0.013210952192042089,0.15853142630450506
2023,4,0.0021438524235643905,0.025726229082772688
2023,5,0.006409144578912622,0.07690973494695147
2023,6,0.008794008645649653,0.10552810374779584
2023,7,0.013795359849283319,0.16554431819139984
2023,8,0.01570746596765398,0.18848959161184778
2023,9,0.021206971721975235,0.2544836606637028
2023,10,0.019892168319810295,0.23870601983772355
2024,1,0.011407243397814848,0.13688692077377818
2024,2,0.014888156044696956,0.17865787253636348
2024,3,0.012384775399082492,0.1486173047889899
2024,4,0.015639638489581557,0.1876756618749787
2024,5,0.01529223311471988,0.18350679737663855
2024,6,0.014970154783701818,0.17964185740442182
2024,7,0.019110766191099866,0.2293291942931984
2024,8,0.021422749041244842,0.2570729884949381
2024,9,0.017327252645827348,0.20792703174992816
2024,10,0.013562039022986168,0.16274446827583403
2025,1,0.021381122178311198,0.25657346613973436
2025,2,0.024095342858839575,0.2891441143060749
2025,3,0.015049874698056574,0.18059849637667888
2025,4,0.014649767975380862,0.17579721570457035
2025,5,0.01515467481044344,0.18185609772532127
2025,6,0.018951611943416064,0.22741934332099278
2025,7,0.007895805661234604,0.09474966793481525
2025,8,0.011695985910610029,0.14035183092732034
2025,9,0.008419207335844708,0.10103048803013649
2025,10,0.007267062184803945,0.08720474621764734
