date,hmm_regime,hmm_cov_source,static_cov_nobs,hmm_same_regime_nobs,spy_return,bottom20_return,EqualWeight_Top10,Static_MinVar_Top10,Static_ScoreMV_Top10,HMM_MinVar_Top10,HMM_ScoreMV_Top10
2021-01-04,1,hmm_same_regime_cov,756,253,0.0345995814799862,0.03400469720809415,0.04425865438161135,0.03845386875333032,0.023877529134781524,0.027860874918766272,0.02569794178981029
2021-02-01,1,hmm_same_regime_cov,523,160,0.027403449288907,0.14661202637796242,0.041071431066914875,-0.0012714724704582063,0.007710998314006973,-0.00516732083827157,-0.0076458854631238915
2021-03-01,1,hmm_same_regime_cov,694,259,0.0192419512644539,0.007892398635824579,0.052762284029477,0.10650961423863148,0.05322880712224381,0.11569983320532916,0.053232156989890075
2021-04-01,0,hmm_same_regime_cov,756,183,0.0416614673038981,0.02346268782250484,0.042853262699506574,0.048517029582382076,0.06394560329475574,0.052137812453579103,0.06369029093365612
2021-05-03,0,hmm_same_regime_cov,533,146,0.0035150644783579,0.006089687151049292,0.0782792108549948,0.04409393393242073,0.061433930510661844,0.0354399691814754,0.07669456007659865
2021-06-01,2,hmm_same_regime_cov,507,166,0.0224682429971732,-0.0018284238854756594,-0.02685071986736708,-0.011421460922683672,-0.04093776851343757,-0.012263078835307382,-0.029010099371249442
2021-07-01,0,hmm_same_regime_cov,628,172,0.0187719726499542,0.027653472975089976,-0.004189748946828661,0.0100259482282087,0.01729509631551558,0.013918516038295293,0.0004251296341994862
2021-08-02,0,hmm_same_regime_cov,756,200,0.0334559976233461,0.03082337807157749,0.0041687174779706125,0.0115852225683507,-0.02482543751249745,0.03527700661736812,-0.018375112386994144
2021-09-01,1,hmm_same_regime_cov,582,145,-0.0471119243396083,-0.058466336334506,0.02481943151454801,0.021324724724836836,0.06349879997688972,0.01166020767881302,0.05707636745746036
2021-10-01,2,hmm_same_regime_cov,756,212,0.0575949027633313,0.04814664851682542,0.1361116628493558,0.11179587142091285,0.16959154220464864,0.11084560128670887,0.1562669920163747
2021-11-01,1,hmm_same_regime_cov,756,232,-0.0097383030005113,0.0073201932980121705,-0.05242053332476176,-0.03451347356554374,-0.05776829580099568,-0.03174135471858357,-0.05818066953654641
2021-12-01,0,hmm_same_regime_cov,756,221,0.060672253743766,0.08247639321493876,0.08233412283760472,0.0922796607811629,0.08212473111288819,0.09114821205435572,0.0764061267426646
2022-01-03,2,hmm_same_regime_cov,756,237,-0.0518305677467618,-0.06289418202936718,-0.009495836097098122,-0.05157069271001854,-0.04249191228359133,-0.03824021844205825,-0.03492073556592899
2022-02-01,1,hmm_same_regime_cov,756,218,-0.0332487022132972,-0.040540381302452154,-0.04745775897346553,-0.03873770864258841,-0.0177809885198655,-0.039068579315590816,-0.017780988519865495
2022-03-01,3,hmm_same_regime_cov,756,86,0.076756702020782,0.06264618096335049,0.09732463768617527,0.06001458098690323,0.09095278650600576,0.05770334349992912,0.058433725257087704
2022-04-01,2,hmm_same_regime_cov,756,238,-0.084871498611863,-0.07394917948644228,-0.08223785758798484,-0.05782017031155169,-0.05333276780149415,-0.05865570479316916,-0.05855912059807949
2022-05-02,0,hmm_same_regime_cov,756,247,-0.0037396737179195,-0.008959513074796217,0.02383606424054784,0.038362637393516745,0.022958524815881502,0.03827580483827966,0.01352020202621749
2022-06-01,3,hmm_same_regime_cov,756,85,-0.0749783909841353,-0.07800989635214112,-0.06748461467184183,-0.04971489164532126,-0.0520600351810744,-0.05614455625712098,-0.06122877113052404
2022-07-01,2,hmm_same_regime_cov,756,259,0.0774577714158475,0.0054805919857738895,0.1695394756910897,0.16667734493944755,0.1873297465470261,0.16749724034648786,0.1738910668093074
2022-08-01,3,hmm_same_regime_cov,756,106,-0.019816418429204,0.015019222530503928,0.01432427278859356,0.0011291965363609705,-0.0042392933370205095,0.020239726245396147,0.010995882035341242
2022-09-01,2,hmm_same_regime_cov,756,243,-0.095284737588156,-0.1161942094234,-0.06945252576791947,-0.042927677702390185,-0.05199059292200085,-0.05847597360114001,-0.05057920261183711
2022-10-03,2,hmm_same_regime_cov,756,264,0.0534628093467937,0.04205489965510553,0.05241494317114065,0.05022499272790738,0.06278171658816133,0.04618616138418791,0.0647266971260935
