hmm_regime,strategy,n_months,avg_monthly_return,annualized_return,avg_excess_vs_spy,annualized_excess_vs_spy,avg_excess_vs_equal_weight
0,EqualWeight_Top10,22,0.021340262905136638,0.2560831548616397,-0.00040289498665120713,-0.0048347398398144855,
0,Static_MinVar_Top10,22,0.010526279883966266,0.12631535860759519,-0.011216878007821578,-0.13460253609385894,-0.01081398302117037
0,Static_ScoreMV_Top10,22,0.019323241727117507,0.23187890072541006,-0.0024199161646703336,-0.029038993976044,-0.002017021178019128
0,HMM_MinVar_Top10,22,0.013311543988776415,0.15973852786531698,-0.008431613903011422,-0.10117936683613707,-0.008028718916360218
0,HMM_ScoreMV_Top10,22,0.019759624062523788,0.23711548875028546,-0.0019835338292640533,-0.02380240595116864,-0.0015806388426128461
1,EqualWeight_Top10,15,0.01791990123345346,0.21503881480144152,0.006275074449072208,0.07530089338886649,
1,Static_MinVar_Top10,15,0.016529727809675203,0.19835673371610243,0.00488490102529395,0.0586188123035274,-0.0013901734237782596
1,Static_ScoreMV_Top10,15,0.025293537083462467,0.3035224450015496,0.013648710299081216,0.1637845235889746,0.007373635850009008
1,HMM_MinVar_Top10,15,0.0188881882216978,0.2266582586603736,0.007243361437316544,0.08692033724779853,0.0009682869882443374
1,HMM_ScoreMV_Top10,15,0.02429410907666189,0.29152930891994266,0.012649282292280633,0.1517913875073676,0.006374207843208425
2,EqualWeight_Top10,14,0.04259468427088654,0.5111362112506386,0.02505899122056463,0.30070789464677555,
2,Static_MinVar_Top10,14,0.03461635784880927,0.4153962941857113,0.01708066479848736,0.20496797758184832,-0.007978326422077275
2,Static_ScoreMV_Top10,14,0.04411256225829174,0.5293507470995009,0.02657686920796983,0.31892243049563795,0.0015178779874051936
2,HMM_MinVar_Top10,14,0.03385021695208335,0.40620260342500025,0.01631452390176143,0.19577428682113718,-0.008744467318803201
2,HMM_ScoreMV_Top10,14,0.04156172060486591,0.49874064725839096,0.024026027554543996,0.28831233065452794,-0.0010329636660206412
3,EqualWeight_Top10,9,-0.013667461663643523,-0.16400953996372228,0.0036786588352752214,0.044143906023302655,
3,Static_MinVar_Top10,9,-0.014089063484765622,-0.16906876181718747,0.003257057014153122,0.039084684169837465,-0.0004216018211221005
3,Static_ScoreMV_Top10,9,-0.01211169714861098,-0.14534036578333176,0.005234423350307761,0.06281308020369314,0.0015557645150325403
3,HMM_MinVar_Top10,9,-0.016893289815414575,-0.2027194777849749,0.0004528306835041701,0.005433968202050041,-0.0032258281517710532
3,HMM_ScoreMV_Top10,9,-0.015361141871850947,-0.18433370246221137,0.001984978627067799,0.023819743524813586,-0.0016936802082074234
