date,strategy,ticker,weight,realized_future_return,predicted_return_score,hmm_regime
2021-01-04,EqualWeight_Top10,AMD,0.1,-0.0372697976995431,0.5535564,1
2021-01-04,EqualWeight_Top10,BKNG,0.1,-0.045539014719336,0.5705345,1
2021-01-04,EqualWeight_Top10,CMG,0.1,0.1545954822362329,0.54238117,1
2021-01-04,EqualWeight_Top10,INTU,0.1,0.0350434918093378,0.5343288,1
2021-01-04,EqualWeight_Top10,KMB,0.1,-0.0078709521887173,0.53430676,1
2021-01-04,EqualWeight_Top10,MET,0.1,0.0618489886371076,0.53425324,1
2021-01-04,EqualWeight_Top10,MTD,0.1,0.0488598817625562,0.5404803,1
2021-01-04,EqualWeight_Top10,NOW,0.1,0.1075869488590302,0.5568662,1
2021-01-04,EqualWeight_Top10,NVDA,0.1,0.0338010190111337,0.5829636,1
2021-01-04,EqualWeight_Top10,URI,0.1,0.0915304961083114,0.55449015,1
2021-01-04,HMM_MinVar_Top10,AMD,3.1564704704856547e-18,-0.0372697976995431,0.5535564,1
2021-01-04,HMM_MinVar_Top10,BKNG,0.1740395468328977,-0.045539014719336,0.5705345,1
2021-01-04,HMM_MinVar_Top10,CMG,0.11515708314533893,0.1545954822362329,0.54238117,1
2021-01-04,HMM_MinVar_Top10,INTU,0.21512006470717554,0.0350434918093378,0.5343288,1
2021-01-04,HMM_MinVar_Top10,KMB,0.25,-0.0078709521887173,0.53430676,1
2021-01-04,HMM_MinVar_Top10,MET,0.03147423289355976,0.0618489886371076,0.53425324,1
2021-01-04,HMM_MinVar_Top10,MTD,0.21420907242102807,0.0488598817625562,0.5404803,1
2021-01-04,HMM_MinVar_Top10,NOW,2.64147443855504e-18,0.1075869488590302,0.5568662,1
2021-01-04,HMM_MinVar_Top10,NVDA,0.0,0.0338010190111337,0.5829636,1
2021-01-04,HMM_MinVar_Top10,URI,0.0,0.0915304961083114,0.55449015,1
2021-01-04,HMM_ScoreMV_Top10,AMD,2.4369298351762063e-17,-0.0372697976995431,0.5535564,1
2021-01-04,HMM_ScoreMV_Top10,BKNG,0.2499999999999999,-0.045539014719336,0.5705345,1
2021-01-04,HMM_ScoreMV_Top10,CMG,0.07878232489334903,0.1545954822362329,0.54238117,1
2021-01-04,HMM_ScoreMV_Top10,INTU,1.9231255767995993e-17,0.0350434918093378,0.5343288,1
2021-01-04,HMM_ScoreMV_Top10,KMB,0.24999999999999997,-0.0078709521887173,0.53430676,1
2021-01-04,HMM_ScoreMV_Top10,MET,7.848813518706588e-18,0.0618489886371076,0.53425324,1
2021-01-04,HMM_ScoreMV_Top10,MTD,0.0,0.0488598817625562,0.5404803,1
2021-01-04,HMM_ScoreMV_Top10,NOW,0.17121767510665106,0.1075869488590302,0.5568662,1
2021-01-04,HMM_ScoreMV_Top10,NVDA,0.25,0.0338010190111337,0.5829636,1
2021-01-04,HMM_ScoreMV_Top10,URI,0.0,0.0915304961083114,0.55449015,1
2021-01-04,Static_MinVar_Top10,AMD,0.0,-0.0372697976995431,0.5535564,1
2021-01-04,Static_MinVar_Top10,BKNG,0.1714859894429458,-0.045539014719336,0.5705345,1
2021-01-04,Static_MinVar_Top10,CMG,0.162434092937255,0.1545954822362329,0.54238117,1
2021-01-04,Static_MinVar_Top10,INTU,0.06902601531604657,0.0350434918093378,0.5343288,1
2021-01-04,Static_MinVar_Top10,KMB,0.25000000000000006,-0.0078709521887173,0.53430676,1
