strategy,total_return,CAGR,annual_return,annual_volatility,sharpe,max_drawdown,annual_excess_return_vs_spy,excess_vs_spy_p_value,beta_vs_spy,alpha_vs_spy,n_periods
EqualWeight_Top10,2.0516599312362604,0.24999198146400015,0.24232054544688567,0.18898974162565366,1.070537182106092,-0.1553131832349237,0.09383924672702765,0.08003195177726502,1.0335715997695765,0.08885449199313777,60
Static_MinVar_Top10,1.1503946905420572,0.16547680790413177,0.167470302622565,0.1673893852748587,0.7615196292958164,-0.14426377993817696,0.018989003902707132,0.7343767965539004,0.8091893934391524,0.04732081057438557,60
Static_ScoreMV_Top10,2.326482677669718,0.2717362573423987,0.2626169943054215,0.2039724093018516,1.0914073872411756,-0.18281121446251136,0.11413569558556366,0.11119536009512096,0.9099152542713921,0.12751159562619552,60
HMM_MinVar_Top10,1.2779227941540707,0.1789836980164099,0.1796080440137968,0.1702430831911495,0.8200511961889483,-0.1492579933479108,0.031126745293938878,0.57651826737005,0.8360192650373811,0.05547481778622534,60
HMM_ScoreMV_Top10,2.122246423912828,0.25572180424966495,0.24854743542938318,0.19755637964975786,1.0556350333971043,-0.1819128140211671,0.10006613670952529,0.15273761698558372,0.8732317026995188,0.11888885812920578,60
SPY,0.9861473529818721,0.14710267669378707,0.1484812987198579,0.14542273286660687,0.7459720814032937,-0.20467489479959022,,,,,60
Bottom20_Predicted,0.8714369344466026,0.1335352739586555,0.1393336656125268,0.16507495936183622,0.6017488418385266,-0.27077541782477477,-0.00914763310733109,0.8248498890604036,0.9600902535129883,-0.003221782117359316,60
