date,top,bottom,rnd,spy,ic
2021-01-04,0.029194709350565663,0.026444117725997647,0.02879775014503012,0.03459958147998621,0.04430105095023712
2021-02-01,0.0352978025987967,0.15006427149475104,0.05162500307024255,0.027403449288907034,-0.1834929430140433
2021-03-01,0.023277600608801973,0.007073761827006214,0.04149194956713504,0.019241951264453938,0.1744294690121633
2021-04-01,0.028577031082558702,0.017868405220912216,0.03404694740206854,0.04166146730389819,0.02544331441575789
2021-05-03,0.057322451235119073,0.001237785689516907,0.013498045436726733,0.003515064478357921,0.12455633220487522
2021-06-01,-0.010624502690640436,-0.006653717680266713,0.0038475822760373024,0.022468242997173205,-0.04596193397459909
2021-07-01,-0.011934694943542268,0.024949094661611482,0.013104386767819009,0.018771972649954227,-0.1354997844385862
2021-08-02,0.0041687174779706185,0.026266072561333554,0.023202156003042037,0.03345599762334617,-0.07776183644189383
2021-09-01,0.05049619444335941,-0.058555903997571046,-0.036178540833865104,-0.04711192433960831,0.2624520287509453
2021-10-01,0.12920686946426468,0.041542527325394304,0.054842571946077855,0.057594902763331346,0.13065000600744925
2021-11-01,-0.045391414221432426,0.001276148795320553,-0.0185412477796817,-0.009738303000511372,-0.09161148058887139
2021-12-01,0.07527460266531404,0.08793032578945209,0.07659183522603503,0.06067225374376606,-0.019741184951693042
2022-01-03,-0.010692304370964,-0.0664354957490364,-0.028616149741576034,-0.05183056774676187,0.12160349421517977
2022-02-01,-0.03402764647937917,-0.04136945014471286,-0.018220649878148344,-0.03324870221329723,0.12063382123244587
2022-03-01,0.0866145092364315,0.06264618096335049,0.0732377070146966,0.076756702020782,0.06914503395975717
2022-04-01,-0.11200789873431882,-0.07133355177419728,-0.06298630565593533,-0.08487149861186305,0.02812475705168527
2022-05-02,0.036639115189893635,0.001802207403719175,0.013048129028148904,-0.0037396737179195005,0.01919698072668933
2022-06-01,-0.07779704902270611,-0.0664614207671098,-0.07424424863701937,-0.07497839098413539,0.053678325829911444
2022-07-01,0.17142040026936015,-0.008508506740987654,0.0710326177080857,0.07745777141584753,0.5838477358983963
2022-08-01,0.017360431402605313,-0.014460332054921999,-0.007578392803167361,-0.019816418429204008,0.05976351852768021
2022-09-01,-0.07026648056087495,-0.11567715327489947,-0.08829660501187121,-0.09528473758815603,0.052414641213928796
