date,top,bottom,rnd,spy,ic
2021-01-04,0.03973276562757485,0.02969794751897715,0.0294325966320467,0.03459958147998621,0.03563336183926893
2021-02-01,0.041071431066914875,0.13134232390102013,0.05251171749820119,0.027403449288907034,-0.16029994840661244
2021-03-01,0.023277600608801973,0.004689056301531163,0.04425518076832179,0.019241951264453938,0.1919401234000749
2021-04-01,0.0330329994344377,0.026018656003366482,0.033961532340035946,0.04166146730389819,0.02673809641602646
2021-05-03,0.07713326144912118,0.00410845333230968,0.013561296685766253,0.003515064478357921,0.14116092189609233
2021-06-01,-0.013894556428402472,-0.0018284238854756607,0.0028895167818746236,0.022468242997173205,-0.055751955954795714
2021-07-01,-0.004189748946828653,0.02741799616380693,0.012202103844338754,0.018771972649954227,-0.13552240071806687
2021-08-02,0.0041687174779706185,0.03006241294772678,0.02354912150539605,0.03345599762334617,-0.07909761044872111
2021-09-01,0.05049619444335941,-0.05709240247970067,-0.036500757891391795,-0.04711192433960831,0.2702744344163233
2021-10-01,0.12920686946426468,0.0349302111044144,0.054600417149814416,0.057594902763331346,0.13785894509191396
2021-11-01,-0.04333624806591654,0.0030240806184273494,-0.01663774987341966,-0.009738303000511372,-0.10547243287558926
2021-12-01,0.08889232413978564,0.08593719762293249,0.07562126005521697,0.06067225374376606,-0.029887413333710273
2022-01-03,-0.013932418189784301,-0.06695411791159535,-0.029514534500020752,-0.05183056774676187,0.11956237499204897
2022-02-01,-0.03706393428110745,-0.03929384335280682,-0.01575681199949295,-0.03324870221329723,0.12054759666692581
2022-03-01,0.10928139199820412,0.06613213768186005,0.07425471406580164,0.076756702020782,0.0708751793400287
2022-04-01,-0.11039951655576045,-0.06862935855665928,-0.06289796248834674,-0.08487149861186305,-0.006630810440240015
2022-05-02,0.03288681708115636,0.0025528388358935783,0.014203844897692013,-0.0037396737179195005,0.0083793315475896
2022-06-01,-0.06387036250038094,-0.08373965007216753,-0.07474345487037616,-0.07497839098413539,0.060425044702489904
2022-07-01,0.17618674361308967,-0.006415726036609837,0.07169674063694279,0.07745777141584753,0.5822490476426062
2022-08-01,0.025282497138381155,-0.0031948603340760883,-0.007630113685987782,-0.019816418429204008,0.06331003385374334
2022-09-01,-0.07497771694638182,-0.11483638300707062,-0.08979855511432715,-0.09528473758815603,0.04992967750598978
2022-10-03,0.06631413723631721,0.05796640372035002,0.07512749611691294,0.053462809346793705,-0.026914786099469224
2022-11-01,0.0892884480026906,0.030299187920808546,0.07090817461150704,0.060230938838836234,0.1696390583146631
2022-12-01,-0.04829957874333478,-0.03969765905063836,-0.045074789011466596,-0.05693429735745792,-0.14387346191630562
2023-01-03,0.16645209059261276,0.08376026594338296,0.07298278164398789,0.07872480230227374,0.36032397820356066
2023-02-01,-0.04039311468375974,-0.002931284429860498,-0.029759894334962213,-0.0316212033013924,-0.04209455018340389
2023-03-01,0.0315551752772805,0.027433402630765363,0.0005724059669356432,0.020625642921485277,-0.006738237767773215
2023-04-03,-0.00896636344832843,0.013674165773535075,-0.0037789234982119413,-0.0002676967935832941,-0.027996126962138934
2023-05-01,0.026727431972700954,0.007388267160372558,-0.016136674252620255,0.011239151615144216,0.10434303241902312
2023-06-01,0.08825956950743241,0.06531229672827406,0.06181064112450535,0.05477834116709679,0.20626612293361418
2023-07-03,-0.004597985753750223,0.0508086644397983,0.031580452455087,0.028594604912354882,-0.18383077368878586
2023-08-01,-0.051854690299571425,-0.027472026819793143,-0.01659960071121386,-0.016035773395641106,-0.060013711119435154
2023-09-01,-0.06095164779846398,-0.0460158723662851,-0.04848577569621959,-0.049586032264346325,-0.009929960209483288
2023-10-02,-0.0478974940201243,-0.04528201904107657,-0.019974026056293,-0.02742739463153221,0.06526492851135408
2023-11-01,0.08887226735840649,0.07366737289575462,0.08080475710944213,0.07982773387592879,0.06739792636987511
2023-12-01,0.06023723632280063,0.012899627965878424,0.04177283159712195,0.033688307863693145,0.039307093737410856
2024-01-02,0.07510453104782895,-0.005361289096779504,0.01361477005075876,0.021643944179497332,0.18433508378487554
2024-02-01,0.004011351298318944,0.017089576156815202,0.037601392395192376,0.04834417317366779,0.05082809822958309
2024-03-01,0.0502164319862912,0.0239624121510147,0.03219287089037614,0.021316851983411045,0.18216907411792566
2024-04-01,-0.04999424372734457,-0.0032988572120505434,-0.021136460030446714,-0.023172921509092337,0.011093312532211557
2024-05-01,0.004954843108792717,0.03992243385816656,0.024954874861043634,0.044488816938366815,-0.11966685227496242
2024-06-03,-0.0020998719675908604,0.02209899368814216,0.01901542071398589,0.04354145438578794,-0.020502569960022844
2024-07-01,0.08527291678638857,-0.0002969617311450179,0.03159696559628534,-0.006124674178053624,0.13886141716928305
2024-08-01,0.054558272838656066,0.010562878621840948,0.02949388530629495,0.02824988438058429,0.11874468944575224
