date,top,bottom,rnd,spy,ic
2021-01-04,0.0454413527930607,0.03139122339383786,0.027549057246581667,0.03459958147998621,0.031986486773010296
2021-02-01,0.04090388270483177,0.14661202637796245,0.05215786149902764,0.027403449288907034,-0.18997392060272386
2021-03-01,0.036063954034055955,0.007073761827006214,0.04255088578168402,0.019241951264453938,0.19153444388689034
2021-04-01,0.028577031082558702,0.02125180921315358,0.033443691282022216,0.04166146730389819,0.05173191227710596
2021-05-03,0.05221507317292305,0.010235095020297203,0.012943474605178782,0.003515064478357921,0.12129676092472312
2021-06-01,-0.0385184294082853,-0.002069548968187995,0.003063766099309783,0.022468242997173205,-0.044151218098677655
2021-07-01,-0.02251148708770283,0.024814460116400917,0.014121000217859525,0.018771972649954227,-0.1438027860429285
2021-08-02,0.0041687174779706185,0.023420265185558953,0.02366483774820842,0.03345599762334617,-0.07803323179566192
2021-09-01,0.02481943151454803,-0.06180808099469681,-0.035774077773352404,-0.04711192433960831,0.25050639263274693
2021-10-01,0.11813648471634726,0.051002065929313375,0.053727947357694976,0.057594902763331346,0.12643348340177113
2021-11-01,-0.04879976495824854,-0.0074335695073310835,-0.016884159161501593,-0.009738303000511372,-0.07819437278696172
2021-12-01,0.0737040792753715,0.08286087618782817,0.07590225021325674,0.06067225374376606,-0.0188803528139599
2022-01-03,-0.019166571881707582,-0.06289418202936722,-0.02987126592617433,-0.05183056774676187,0.10594454770974832
2022-02-01,-0.04766724897493364,-0.03269277181887294,-0.017515102230639002,-0.03324870221329723,0.10718985659865292
2022-03-01,0.0995612396818085,0.059741218552203865,0.07378751554449735,0.076756702020782,0.06699790092656069
2022-04-01,-0.12551052608534524,-0.07611437696404746,-0.06300771863344927,-0.08487149861186305,0.02525248955763971
2022-05-02,0.02523254858351135,0.013949422748519968,0.013430910501078345,-0.0037396737179195005,-0.007035076435957057
2022-06-01,-0.06748461467184186,-0.07737596759054864,-0.0749488308199806,-0.07497839098413539,0.04610328572135331
2022-07-01,0.1949960040079617,-0.004874920746449285,0.07235767505007612,0.07745777141584753,0.5826928921274144
2022-08-01,0.025282497138381155,0.005139236422479881,-0.007037160372287239,-0.019816418429204008,0.06413411453732039
2022-09-01,-0.07008031844640378,-0.11517545318901216,-0.08884400963754079,-0.09528473758815603,0.053057791661660456
2022-10-03,0.05044050358374765,0.05611661184804795,0.07542565827141093,0.053462809346793705,-0.019239386250715595
2022-11-01,0.08886848071542194,0.031472149598177956,0.06971602913945595,0.060230938838836234,0.1629983532521503
2022-12-01,-0.04829957874333478,-0.038957164570268515,-0.044362374814571226,-0.05693429735745792,-0.14653935586009004
2023-01-03,0.14960635016433038,0.0935113748355689,0.07245976121023151,0.07872480230227374,0.3480815034171785
2023-02-01,-0.030090325616982473,0.0006287949262006876,-0.030613589420580553,-0.0316212033013924,-0.050642090309630995
2023-03-01,0.029465954492220746,0.02757847948132197,0.001100789389993535,0.020625642921485277,-0.0014587500265034526
2023-04-03,-0.00896636344832843,0.012380722454156123,-0.004000566990807676,-0.0002676967935832941,-0.02863645037493551
2023-05-01,0.022861867573763107,0.005967164473909497,-0.012566520919888313,0.011239151615144216,0.07746075722130737
2023-06-01,0.06725236270694854,0.06341268073200454,0.06229851188551059,0.05477834116709679,0.20202981108339044
2023-07-03,0.000534058508075963,0.05396180774814385,0.032042293054846384,0.028594604912354882,-0.18414881511898284
2023-08-01,-0.04831573022105897,-0.026771610334735206,-0.01650271284029759,-0.016035773395641106,-0.05872458318903676
2023-09-01,-0.058437526431874984,-0.03970977451623591,-0.048446454792117226,-0.049586032264346325,-0.00022474927733919474
2023-10-02,-0.046590731224776236,-0.04344546544942174,-0.01985611391544935,-0.02742739463153221,0.07660981970584702
