predicted_decile,mean,std,count,annualized_mean_return
1,0.007425247882405039,0.04130011369610651,60,0.08910297458886046
2,0.013207838641456011,0.041977075730955264,60,0.15849406369747213
3,0.010265521163480573,0.04014890175053063,60,0.12318625396176687
4,0.009843907372952267,0.04074862779321543,60,0.11812688847542721
5,0.009180876543984058,0.04333489751670821,60,0.11017051852780871
6,0.01399466052766821,0.040766481492923536,60,0.16793592633201854
7,0.012670442181776573,0.046587460750249665,60,0.1520453061813189
8,0.017386594450376304,0.044021413485822114,60,0.20863913340451565
9,0.01842546173668689,0.048344230132808676,60,0.22110554084024267
10,0.018428346322934008,0.052927077568778534,60,0.22114015587520808
