portfolio,total_return,CAGR,annual_return,annual_volatility,sharpe,max_drawdown,annual_excess_return_vs_spy,beta_vs_spy,alpha_vs_spy,n_periods
RankModel_Top10,2.366346380826729,0.2747697821013171,0.2639178333232278,0.1982744075726126,1.1293330090582872,-0.18614076907487564,0.11543653460336983,1.0607388545991716,0.10641795058972814,60
SPY,0.9861473529818718,0.14710267669378707,0.14848129871985805,0.145422732866607,0.745972081403294,-0.2046748947995901,0.0,1.016949152542373,-0.0025166321816925408,60
bottom20_Predicted,0.5187328451166884,0.08716703950336124,0.09416074516332154,0.1435809069302053,0.37721411795823995,-0.280849281324961,-0.05432055355653645,0.8242019289656533,-0.02821782765691082,60
TopMinusBottom,1.2009546821439918,0.17090650865381574,0.16975708815990628,0.15350766341101968,0.8452808496764048,-0.16389959312085833,,,,60
Oracle_Top10,11371.815532810933,5.474013474719338,2.0402087936274462,0.21373336401358176,9.358430317413346,0.0,1.8917274949075886,1.1194186476406114,1.8739960590145412,60
