year,predicted_decile,future_return,annualized_mean_return
2021,1,0.01702266249885795,0.2042719499862954
2021,2,0.03175252427199421,0.3810302912639305
2021,3,0.023610655006743086,0.28332786008091704
2021,4,0.02132786787716352,0.2559344145259622
2021,5,0.0196380473737859,0.23565656848543082
2021,6,0.022114906491690022,0.26537887790028025
2021,7,0.02624189409469255,0.3149027291363106
2021,8,0.03392233473977612,0.4070680168773134
2021,9,0.026099904474701997,0.313198853696424
2021,10,0.020926428243306334,0.251117138919676
2022,1,-0.023054104085047277,-0.2766492490205673
2022,2,-0.004442641239719983,-0.053311694876639795
2022,3,-0.007082023160030734,-0.0849842779203688
2022,4,-0.010006241223137464,-0.12007489467764956
2022,5,-0.002627859774145078,-0.03153431728974094
2022,6,0.002641987397086258,0.0317038487650351
2022,7,-0.0004125874449379373,-0.004951049339255248
2022,8,0.005994684313278409,0.07193621175934091
2022,9,0.006663539244803189,0.07996247093763827
2022,10,0.014673369305855966,0.1760804316702716
2023,1,0.009567228828758729,0.11480674594510475
2023,2,0.008093863372208833,0.097126360466506
2023,3,0.007367933014838931,0.08841519617806717
2023,4,0.0043635958182659945,0.052363149819191934
2023,5,0.008004977244249025,0.0960597269309883
2023,6,0.019701746797513138,0.23642096157015766
2023,7,0.017678958889910664,0.21214750667892796
2023,8,0.018469723227928492,0.22163667873514192
2023,9,0.019032442190124673,0.22838930628149606
2023,10,0.016583103242258004,0.19899723890709603
2024,1,0.010429361130353537,0.12515233356424244
2024,2,0.006288913953945784,0.0754669674473494
2024,3,0.011886824619005067,0.1426418954280608
2024,4,0.014515036594194333,0.174180439130332
2024,5,0.011966684553448006,0.14360021464137607
2024,6,0.020261298519448672,0.24313558223338405
2024,7,0.010371844801834949,0.12446213762201938
2024,8,0.01753334353514346,0.2104001224217215
2024,9,0.024307494251015808,0.2916899310121897
2024,10,0.02814937855167721,0.33779254262012653
2025,1,0.023161091039102258,0.2779330924692271
2025,2,0.024346532848851216,0.2921583941862146
2025,3,0.015544216336846517,0.18653059604215821
2025,4,0.019019277798274958,0.22823133357929948
2025,5,0.008922533322582442,0.10707039987098929
2025,6,0.005253363432602962,0.06304036119123554
2025,7,0.009472100567382643,0.11366520680859171
2025,8,0.011012886435755029,0.13215463722906035
2025,9,0.016023928522788774,0.19228714227346527
2025,10,0.011809452271572525,0.1417134272588703
